"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.126221100E-2,4.714200211E1,-4.622000217E0,-4.581000137E1,6.589603535E1
1.926256300E-2,4.218200302E1,5.137000084E0,-4.369600296E1,6.095121675E1
2.726432100E-2,4.197500229E1,6.688000202E0,-5.441700363E1,6.904955067E1
3.526584400E-2,4.875100327E1,-3.902000189E0,-5.698500443E1,7.509445155E1
4.326529700E-2,3.342700195E1,-6.860000491E-1,-5.042300415E1,6.050053226E1
5.126627400E-2,4.270500183E1,-1.645000100E0,-5.505700302E1,6.969717920E1
5.926268000E-2,5.219700241E1,2.797000170E0,-4.710200119E1,7.036297881E1
6.726209400E-2,4.105400085E1,6.704000473E0,-5.229000092E1,6.681780305E1
7.525842200E-2,4.872300339E1,-2.709000111E0,-5.565100098E1,7.401556357E1
8.325818800E-2,3.359000015E1,-4.580000341E-1,-4.607200241E1,5.701865730E1
9.125643000E-2,4.131100082E1,-1.760000110E0,-5.214500427E1,6.654921382E1
9.924939900E-2,5.094900131E1,3.665000200E0,-4.944100189E1,7.108899795E1
1.072442430E-1,4.159900284E1,6.288000107E0,-5.407800293E1,6.851603012E1
1.152369380E-1,4.775900269E1,-4.815000057E0,-5.619400406E1,7.390448332E1
1.232354930E-1,3.134600067E1,-2.328999996E0,-4.750000381E1,5.695828615E1
1.312355320E-1,4.028900146E1,-2.960000038E0,-5.291500092E1,6.657298672E1
1.392333830E-1,5.189600372E1,3.674000263E0,-4.822000122E1,7.093561868E1
1.472314690E-1,4.193600082E1,7.785000324E0,-5.364000320E1,6.853090061E1
1.552288910E-1,4.880900192E1,-3.073000193E0,-5.665400314E1,7.484275563E1
1.632238910E-1,3.279300308E1,-1.646000028E0,-4.818200302E1,5.830605271E1
1.712201800E-1,4.005700302E1,-2.806000233E0,-5.391800308E1,6.722788249E1
1.792142030E-1,5.167100143E1,3.834000111E0,-4.833000183E1,7.085464715E1
1.872110000E-1,4.243600082E1,8.201000214E0,-5.319900131E1,6.854344835E1
1.952075630E-1,4.853400421E1,-1.912000060E0,-5.665700150E1,7.462721439E1
2.032032270E-1,3.324600220E1,-2.250000089E-1,-4.718600082E1,5.772231770E1
2.112024850E-1,4.224500275E1,-1.765000105E0,-5.270900345E1,6.757214313E1
