"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
9.699194000E-3,-1.995000124E0,6.264000416E0,-4.438100052E1,4.486525308E1
1.769423300E-2,-1.200000048E-1,6.348000526E0,-4.528700256E1,4.572990391E1
2.568966200E-2,1.622000098E0,6.408000469E0,-4.786600113E1,4.832025888E1
3.368200600E-2,2.429000139E0,5.958000183E0,-4.817200089E1,4.859978886E1
4.168024800E-2,4.297000408E0,5.692000389E0,-4.673200226E1,4.727306967E1
4.967653700E-2,4.614000320E0,6.208000183E0,-4.704900360E1,4.768057262E1
5.767267000E-2,3.955000162E0,6.960000515E0,-4.783000183E1,4.849528543E1
6.567239700E-2,5.121000290E0,7.008000374E0,-4.837200165E1,4.914455470E1
7.366880300E-2,5.560000420E0,6.592000484E0,-4.870900345E1,4.946650475E1
8.166727900E-2,4.976000309E0,7.231000423E0,-4.821300125E1,4.900552454E1
8.966341200E-2,5.165000439E0,7.999000549E0,-4.531500244E1,4.630454282E1
9.765915400E-2,4.611999989E0,7.371000290E0,-4.614400101E1,4.695605412E1
1.056570450E-1,6.513000488E0,6.260000229E0,-4.860700226E1,4.943933097E1
1.136525920E-1,7.698000431E0,5.348000050E0,-4.960200119E1,5.047988547E1
1.216507170E-1,7.705000401E0,5.527000427E0,-5.027300262E1,5.115945228E1
1.296474750E-1,8.542000771E0,6.201000214E0,-4.944000244E1,5.055424831E1
1.376421230E-1,9.134000778E0,6.174000263E0,-4.832700348E1,4.956861421E1
1.456385690E-1,1.043500042E1,5.727000237E0,-4.971700287E1,5.112209053E1
1.536316940E-1,1.095600033E1,4.772000313E0,-4.994000244E1,5.134987609E1
1.616274750E-1,1.124100018E1,4.386000156E0,-4.957100296E1,5.101844193E1
1.696192330E-1,1.089200020E1,4.357000351E0,-4.889900208E1,5.028649445E1
1.776125140E-1,1.033800030E1,4.819000244E0,-4.903600311E1,5.034507538E1
1.856104040E-1,1.094900036E1,5.154000282E0,-4.870600128E1,5.018683980E1
1.936048190E-1,1.151100063E1,5.761000156E0,-4.956200409E1,5.120629363E1
2.016036470E-1,1.270800018E1,6.064000130E0,-4.890200043E1,5.088881028E1
2.095980610E-1,1.093600082E1,6.613000393E0,-4.933500290E1,5.096342217E1
2.175937250E-1,9.866000175E0,6.502000332E0,-5.044400406E1,5.180937669E1
2.255943500E-1,1.113500023E1,5.743000507E0,-5.102900314E1,5.254454726E1
2.335901310E-1,1.093200016E1,6.182000160E0,-5.069400406E1,5.222650477E1
2.415897010E-1,1.017200089E1,6.482000351E0,-5.049200058E1,5.191269645E1
2.495845060E-1,1.143100071E1,6.054000378E0,-5.072100067E1,5.234442288E1
2.575805610E-1,1.243600082E1,6.215000153E0,-5.112800217E1,5.298445950E1
2.655775530E-1,1.175700092E1,6.433000088E0,-4.967400360E1,5.145014280E1
2.735743110E-1,1.076800060E1,6.560000420E0,-4.809000397E1,4.971550989E1
2.815715760E-1,1.020700073E1,6.874000549E0,-4.752900314E1,4.909624107E1
2.895656000E-1,9.955000877E0,7.141000271E0,-4.980500412E1,5.128971011E1
2.975582950E-1,9.767000198E0,7.939000607E0,-5.070000076E1,5.223899024E1
3.055539980E-1,1.041000080E1,8.203000069E0,-5.000700378E1,5.173352640E1
3.135453260E-1,1.155300045E1,7.766000271E0,-5.001300049E1,5.191418686E1
3.215378260E-1,1.167100048E1,8.761000633E0,-5.148300171E1,5.351137121E1
3.295277090E-1,1.235500050E1,1.011400032E1,-5.026500320E1,5.274001884E1
3.375175920E-1,1.234400082E1,9.542000771E0,-5.114800262E1,5.347468847E1
