"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
9.670014000E-3,1.789300079E2,2.846000099E1,9.115200806E1,2.028166856E2
1.767196700E-2,1.776560059E2,2.887200165E1,8.937300110E1,2.009546770E2
2.567321700E-2,1.770440063E2,2.853500175E1,8.882000732E1,2.001195148E2
3.367646000E-2,1.775090027E2,2.814500046E1,9.205600739E1,2.019304226E2
4.167954600E-2,1.770010071E2,2.919800186E1,9.305900574E1,2.020936871E2
4.968282700E-2,1.749820099E2,2.890500069E1,9.206900787E1,1.998271880E2
5.768524900E-2,1.757590027E2,2.825000191E1,9.206700134E1,2.004136282E2
6.568935000E-2,1.769490051E2,2.837500191E1,9.350900269E1,2.021386275E2
7.369271000E-2,1.753510132E2,2.904000092E1,9.329400635E1,2.007363223E2
8.169575700E-2,1.754520111E2,2.894900131E1,9.184300232E1,2.001414249E2
8.969985800E-2,1.765720062E2,2.814600182E1,9.206200409E1,2.011101275E2
9.770360800E-2,1.772920074E2,2.839800072E1,9.205600739E1,2.017751492E2
1.057047410E-1,1.753720093E2,2.784000206E1,9.095500183E1,1.995074427E2
1.137071240E-1,1.747410126E2,2.722600174E1,9.029200745E1,1.985656648E2
1.217085300E-1,1.756810150E2,2.722900200E1,9.073200226E1,1.995934213E2
1.297097800E-1,1.754440155E2,2.711900139E1,9.140400696E1,1.996765767E2
1.377097800E-1,1.759510040E2,2.771500206E1,9.117500305E1,2.000993712E2
1.457086080E-1,1.757470093E2,2.823800087E1,9.050400543E1,1.996881843E2
1.537136080E-1,1.753810120E2,2.802000046E1,9.050800323E1,1.993371978E2
1.617182170E-1,1.759860077E2,2.826400185E1,9.094900513E1,2.001040985E2
1.697224750E-1,1.770610046E2,2.855200195E1,9.116400146E1,2.011881988E2
1.777278660E-1,1.774980011E2,2.804800224E1,9.138600159E1,2.016026590E2
1.857310690E-1,1.774770050E2,2.785500145E1,9.015900421E1,2.010040658E2
1.937378660E-1,1.773660126E2,2.802300072E1,8.949000549E1,2.006301375E2
2.017409520E-1,1.775750122E2,2.759000206E1,9.004800415E1,2.010043189E2
2.097467720E-1,1.756900024E2,2.740900040E1,9.028500366E1,1.994231986E2
2.177529440E-1,1.740330048E2,2.872200203E1,9.218800354E1,1.990252952E2
2.257556780E-1,1.762360077E2,2.838600159E1,9.195100403E1,2.007981141E2
