"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.360540400E-2,8.720000386E-1,1.633900070E1,-4.023800278E1,4.343754362E1
2.160747500E-2,-6.650000215E-1,1.444900036E1,-4.111300278E1,4.358319440E1
2.960642000E-2,-1.467000127E0,1.308600044E1,-4.221800232E1,4.422392132E1
3.760274800E-2,-7.500000596E-1,1.325000095E1,-4.177700043E1,4.383426502E1
4.559602900E-2,-1.756000042E0,1.165100098E1,-4.204200363E1,4.366187615E1
5.359306100E-2,-1.022000074E0,1.115800095E1,-4.275300217E1,4.419688522E1
6.159020900E-2,1.306000113E0,1.283600044E1,-4.411500168E1,4.596304947E1
6.958989700E-2,1.476000071E0,1.357100105E1,-4.454800034E1,4.659264942E1
7.758974000E-2,5.860000253E-1,1.239700031E1,-4.342100143E1,4.515985361E1
8.558852900E-2,1.023000002E0,1.178200054E1,-4.330000305E1,4.488599258E1
9.358681100E-2,2.011000156E0,1.260400105E1,-4.386800385E1,4.568705205E1
1.015804430E-1,1.327000022E0,1.311800098E1,-4.332100296E1,4.528302305E1
1.095761070E-1,1.570000052E0,1.314800072E1,-4.231800079E1,4.434126762E1
1.175761470E-1,2.194000006E0,1.423700047E1,-4.104000092E1,4.349468351E1
1.255730220E-1,2.542000055E0,1.417900085E1,-4.104200363E1,4.349657333E1
1.335727480E-1,3.391000271E0,1.399900055E1,-4.144800186E1,4.387946852E1
1.415725920E-1,2.111000061E0,1.423500061E1,-4.233300018E1,4.471212887E1
1.495709120E-1,1.566000104E0,1.374600029E1,-4.154500198E1,4.378803570E1
1.575727090E-1,2.226000071E0,1.290900040E1,-3.976000214E1,4.186233555E1
1.655721620E-1,1.675000072E0,1.332000065E1,-3.864200211E1,4.090760772E1
1.735733730E-1,1.347000122E0,1.382600021E1,-4.009300232E1,4.243137431E1
1.815747010E-1,9.530000687E-1,1.349400043E1,-4.299100113E1,4.506908514E1
1.895790760E-1,5.370000005E-1,1.410400105E1,-4.131600189E1,4.366031638E1
1.975873570E-1,4.260000288E-1,1.410100079E1,-4.031100082E1,4.270827188E1
2.055920450E-1,6.170000434E-1,1.356400108E1,-4.142600250E1,4.359445490E1
2.135970840E-1,9.260000587E-1,1.404400063E1,-4.223600388E1,4.451933797E1
2.215981000E-1,8.020000458E-1,1.402700043E1,-4.301700211E1,4.525331386E1
2.296016540E-1,2.163000107E0,1.445400047E1,-4.106100082E1,4.358442942E1
2.376066930E-1,2.217000008E0,1.528000069E1,-4.117600250E1,4.397563748E1
2.456105220E-1,7.590000629E-1,1.458500099E1,-4.205700302E1,4.452066754E1
2.536200140E-1,2.163000107E0,1.445400047E1,-4.106100082E1,4.358442942E1
2.616286070E-1,1.951000094E0,1.479700089E1,-4.117200089E1,4.379373578E1
2.696360290E-1,4.580000341E-1,1.529000092E1,-4.149900055E1,4.422850821E1
2.776429040E-1,1.644000053E0,1.549700069E1,-4.139700317E1,4.423315090E1
2.856483340E-1,2.690000057E0,1.532600117E1,-4.106800079E1,4.391700242E1
2.936570840E-1,2.120000124E0,1.563200092E1,-4.173500061E1,4.461685925E1
3.016616150E-1,1.654000044E0,1.576400089E1,-4.251400375E1,4.537267851E1
3.096659900E-1,1.776000142E0,1.554200077E1,-4.259500122E1,4.537666904E1
3.176713810E-1,2.228000164E0,1.522400093E1,-4.203800201E1,4.476525218E1
3.256736470E-1,2.598000050E0,1.545500088E1,-4.198000336E1,4.480990223E1
3.336796620E-1,2.127000093E0,1.558100033E1,-4.354000092E1,4.629280052E1
3.416831780E-1,2.354000092E0,1.517200089E1,-4.245800018E1,4.514878411E1
3.496835680E-1,2.504000187E0,1.538700104E1,-3.989300156E1,4.283084626E1
3.576854430E-1,1.558000088E0,1.547800064E1,-4.037400055E1,4.326726001E1
3.656863030E-1,8.980000615E-1,1.432100105E1,-4.003000259E1,4.252409415E1
3.736887640E-1,1.737000108E0,1.467100048E1,-4.070600128E1,4.330397170E1
3.816886470E-1,1.165000081E0,1.488900089E1,-4.081500244E1,4.346152318E1
3.896893890E-1,3.830000162E-1,1.371700096E1,-4.091700363E1,4.315673749E1
3.976922790E-1,1.190000057E0,1.369300079E1,-4.248500061E1,4.465299148E1
4.056920840E-1,2.175000191E0,1.425500107E1,-4.104200363E1,4.350151427E1
4.136988030E-1,2.809000015E0,1.495700073E1,-4.082600021E1,4.357022659E1
4.216985680E-1,1.656000137E0,1.529700089E1,-4.149000168E1,4.425111085E1
4.296995840E-1,1.400000095E0,1.516900063E1,-4.327400208E1,4.587698591E1
4.377022400E-1,1.979000092E0,1.512900066E1,-4.394700241E1,4.652034096E1
4.457048570E-1,1.912000060E0,1.568300056E1,-4.205100250E1,4.492103140E1
4.537086070E-1,1.576000094E0,1.592500114E1,-4.205000305E1,4.499213481E1
