"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.210260200E-2,-2.005800056E1,-1.152000070E0,-1.360130005E2,1.374888606E2
2.010436000E-2,-2.048200035E1,-2.200000048E0,-1.364530029E2,1.379991824E2
2.810611700E-2,-2.038000107E1,-2.548000097E0,-1.353360138E2,1.368856215E2
3.610693800E-2,-1.965500069E1,-2.290000200E0,-1.346720123E2,1.361180152E2
4.410498500E-2,-1.829700089E1,-2.982000113E0,-1.349010010E2,1.361688387E2
5.210717200E-2,-1.827000046E1,-2.612000227E0,-1.345680084E2,1.358277010E2
6.011041400E-2,-1.939100075E1,-1.724000096E0,-1.356809998E2,1.370704811E2
6.811088300E-2,-1.997200012E1,-1.859000087E0,-1.337790070E2,1.352743855E2
7.611256300E-2,-2.091800117E1,-2.210000038E0,-1.316500092E2,1.333198102E2
8.411396900E-2,-2.095600128E1,-2.591000080E0,-1.334340057E2,1.350944157E2
9.211658600E-2,-2.085000038E1,-2.677000046E0,-1.342160034E2,1.358522154E2
1.001194380E-1,-2.036100006E1,-2.356000185E0,-1.343320007E2,1.358867451E2
1.081217420E-1,-1.964600182E1,-2.281000137E0,-1.334440002E2,1.349017033E2
1.161254140E-1,-1.928400040E1,-2.067000151E0,-1.340060120E2,1.354022024E2
1.241272890E-1,-1.975300026E1,-2.110000134E0,-1.335559998E2,1.350253243E2
1.321295940E-1,-2.017700005E1,-1.593000054E0,-1.321040039E2,1.336454894E2
1.401341250E-1,-1.963000107E1,-2.007000208E0,-1.336690063E2,1.351176090E2
1.481376410E-1,-1.994200134E1,-1.400000095E0,-1.338920135E2,1.353761970E2
1.561397500E-1,-1.990700150E1,-9.360000491E-1,-1.332250061E2,1.347073385E2
1.641463130E-1,-1.977500153E1,-2.475000143E0,-1.332190094E2,1.347014505E2
1.721489690E-1,-1.911000061E1,-2.964000225E0,-1.341150055E2,1.355020742E2
1.801533440E-1,-2.005400085E1,-3.142000198E0,-1.333260040E2,1.348623686E2
1.881568990E-1,-2.143600082E1,-2.731000185E0,-1.337649994E2,1.354992087E2
1.961597890E-1,-1.989500046E1,-2.231000185E0,-1.360100098E2,1.374754929E2
2.041644380E-1,-1.931500053E1,-2.441000223E0,-1.347850037E2,1.361837910E2
2.121656490E-1,-1.932200050E1,-2.706000090E0,-1.333330078E2,1.347529336E2
2.201640080E-1,-1.950500107E1,-1.904000044E0,-1.336700134E2,1.350990110E2
2.281622890E-1,-2.073400116E1,-1.017000079E0,-1.334420013E2,1.350470319E2
2.361648670E-1,-2.102200127E1,-1.864000082E0,-1.331020050E2,1.347647683E2
2.441676800E-1,-1.987300110E1,-2.210000038E0,-1.331080017E2,1.346014873E2
2.521705710E-1,-1.923700142E1,-1.420000076E0,-1.334510040E2,1.348378623E2
2.601774060E-1,-1.949300003E1,-1.805000067E0,-1.327779999E2,1.342133836E2
2.681820160E-1,-1.963200188E1,-2.182000160E0,-1.324400024E2,1.339049322E2
2.761808440E-1,-1.894700050E1,-2.307000160E0,-1.337840118E2,1.351387173E2
2.841873280E-1,-1.989900017E1,-2.407000065E0,-1.348930054E2,1.363740692E2
2.921883440E-1,-2.126700020E1,-1.897000074E0,-1.343280029E2,1.360143238E2
3.001909220E-1,-2.044500160E1,-1.991000056E0,-1.331050110E2,1.346807563E2
3.081926800E-1,-1.935300064E1,-1.344000101E0,-1.340080109E2,1.354049185E2
3.161938520E-1,-1.968900108E1,-1.101999998E0,-1.340070038E2,1.354501688E2
3.241977190E-1,-2.032100105E1,-1.888000131E0,-1.331070099E2,1.346624807E2
3.322006880E-1,-2.053400040E1,-1.459000111E0,-1.341119995E2,1.356827265E2
3.402016640E-1,-2.078900146E1,-1.844000101E0,-1.334380035E2,1.350602966E2
3.482028750E-1,-2.035700035E1,-2.353000164E0,-1.338860016E2,1.354452121E2
3.562035780E-1,-1.989400101E1,-2.402000189E0,-1.342230072E2,1.357105617E2
3.642044770E-1,-1.905600166E1,-2.138000011E0,-1.342300110E2,1.355927656E2
3.722039690E-1,-1.816800117E1,-1.052000046E0,-1.347990112E2,1.360218968E2
3.802042030E-1,-1.915200043E1,-1.870000124E0,-1.336720123E2,1.350500015E2
3.882034220E-1,-2.051400185E1,-3.090000153E0,-1.325420074E2,1.341557159E2
3.962037350E-1,-1.933200073E1,-2.801000118E0,-1.337790070E2,1.351976130E2
4.042005710E-1,-1.823500061E1,-2.062000036E0,-1.347940063E2,1.360374626E2
4.121977190E-1,-1.972300148E1,-1.822000146E0,-1.319950104E2,1.334728408E2
4.201968210E-1,-2.022200012E1,-2.325000048E0,-1.316540070E2,1.332182888E2
4.281977580E-1,-1.945700073E1,-2.991000175E0,-1.331080017E2,1.345557917E2
4.362042030E-1,-2.031000137E1,-3.442000151E0,-1.335470123E2,1.351264150E2
4.442095160E-1,-1.980800056E1,-2.852000237E0,-1.344450073E2,1.359262697E2
4.522108830E-1,-1.968100166E1,-2.745000124E0,-1.340000000E2,1.354654083E2
4.602140860E-1,-2.099900055E1,-3.063000202E0,-1.351060028E2,1.367624656E2
4.682170940E-1,-2.064900017E1,-3.033000231E0,-1.356670074E2,1.372629491E2
4.762183050E-1,-2.134400177E1,-3.089000225E0,-1.339880066E2,1.357125427E2
4.842233830E-1,-2.144700050E1,-2.742000103E0,-1.352160034E2,1.369337795E2
4.922258050E-1,-2.042300034E1,-3.019000053E0,-1.368960114E2,1.384439642E2
5.002302190E-1,-1.902800179E1,-3.331000090E0,-1.355650024E2,1.369344015E2
5.082340860E-1,-1.893900108E1,-2.213000059E0,-1.334490051E2,1.348043772E2
5.162383050E-1,-2.091200066E1,-1.947000146E0,-1.333260040E2,1.349700927E2
5.242435780E-1,-2.012300110E1,-2.504000187E0,-1.325470123E2,1.340892079E2
5.322452580E-1,-1.970500183E1,-3.198000193E0,-1.331050110E2,1.345936784E2
5.402486170E-1,-2.003600121E1,-2.780000210E0,-1.341090088E2,1.356259414E2
5.482517420E-1,-2.008700180E1,-1.695000052E0,-1.350060120E2,1.365026884E2
5.562543210E-1,-1.931800079E1,-2.358000040E0,-1.360130005E2,1.373982592E2
5.642602970E-1,-1.921300125E1,-2.703000069E0,-1.345620117E2,1.359535973E2
5.722612350E-1,-1.988400078E1,-2.392000198E0,-1.328840027E2,1.343847213E2
5.802622110E-1,-1.896000099E1,-2.663000107E0,-1.322190094E2,1.335980526E2
5.882654530E-1,-1.910200119E1,-2.956000090E0,-1.329990082E2,1.343962818E2
5.962692810E-1,-1.965300179E1,-2.460000038E0,-1.327740021E2,1.342431663E2
6.042698280E-1,-1.963800049E1,-2.359000206E0,-1.315460052E2,1.330246873E2
6.122706490E-1,-1.999000168E1,-2.305999994E0,-1.321020050E2,1.336258116E2
6.202742810E-1,-1.950600052E1,-1.905000091E0,-1.337820129E2,1.352099851E2
6.282779530E-1,-1.925500107E1,-1.695000052E0,-1.333380127E2,1.347317844E2
6.362799850E-1,-2.019400024E1,-1.782000065E0,-1.327730103E2,1.343117471E2
6.442824460E-1,-1.887700081E1,-1.294000030E0,-1.334530029E2,1.347876834E2
6.522852970E-1,-1.936800003E1,-1.701000094E0,-1.326670074E2,1.340841068E2
6.602879920E-1,-1.977100182E1,-2.385000229E0,-1.335550079E2,1.350315551E2
6.682917810E-1,-1.878100014E1,-1.389000058E0,-1.354630127E2,1.367657965E2
6.762975630E-1,-1.941500092E1,-4.410000145E-1,-1.346809998E2,1.360739080E2
6.843011960E-1,-2.016200066E1,-1.235000014E0,-1.333339996E2,1.348554298E2
6.923011170E-1,-1.948600006E1,-1.713000059E0,-1.327779999E2,1.342111613E2
7.003043210E-1,-1.968100166E1,-1.180000067E0,-1.321090088E2,1.335721694E2
7.083063910E-1,-2.028700066E1,-1.339000106E0,-1.334440002E2,1.349839121E2
7.163090080E-1,-2.019400024E1,-1.439000010E0,-1.360110016E2,1.375094939E2
7.243079920E-1,-2.130000114E1,-2.272000074E0,-1.354420013E2,1.371254453E2
