"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.166820000E-3,2.575800133E1,-1.239500046E1,-1.276010056E2,1.307636314E2
1.516350000E-2,2.579400063E1,-1.358100033E1,-1.279310074E2,1.312102004E2
2.316096100E-2,2.623700142E1,-1.390800095E1,-1.286020050E2,1.319859403E2
3.115853900E-2,2.631200218E1,-1.280300045E1,-1.282730103E2,1.315682463E2
3.915576600E-2,2.560700035E1,-1.295500088E1,-1.271510086E2,1.303492597E2
4.715482800E-2,2.445600128E1,-1.252600098E1,-1.282610016E2,1.311711905E2
5.515060900E-2,2.481300163E1,-1.231700039E1,-1.294930115E2,1.324229345E2
6.314678100E-2,2.673800087E1,-1.331800079E1,-1.295010071E2,1.329014698E2
7.114447600E-2,2.659900093E1,-1.360700035E1,-1.298339996E2,1.332273424E2
7.913963300E-2,2.531500053E1,-1.346200085E1,-1.304960022E2,1.336086872E2
8.713580500E-2,2.534300041E1,-1.300500107E1,-1.308330078E2,1.338979972E2
9.513221100E-2,2.570300102E1,-1.296500015E1,-1.300540009E2,1.332020219E2
1.031287730E-1,2.544600105E1,-1.326600075E1,-1.303860016E2,1.335065360E2
1.111256090E-1,2.590600204E1,-1.323200035E1,-1.319520111E2,1.351204648E2
1.191205700E-1,2.617400169E1,-1.292000103E1,-1.301690063E2,1.334015555E2
1.271164300E-1,2.450400162E1,-1.335700035E1,-1.302680054E2,1.332239047E2
1.351142810E-1,2.459800148E1,-1.354100037E1,-1.318300018E2,1.347871275E2
1.431088120E-1,2.518500137E1,-1.357100105E1,-1.312760010E2,1.343571539E2
1.511072500E-1,2.424900055E1,-1.374100113E1,-1.294830017E2,1.324487707E2
1.591058440E-1,2.497800064E1,-1.348000050E1,-1.282610016E2,1.313639808E2
1.671053750E-1,2.630200195E1,-1.281300068E1,-1.296119995E2,1.328730172E2
1.751025620E-1,2.696300125E1,-1.165500069E1,-1.299560089E2,1.332344052E2
1.831022500E-1,2.543200111E1,-1.188700104E1,-1.288290100E2,1.318521949E2
1.911006870E-1,2.354800034E1,-1.363200092E1,-1.302600098E2,1.330714466E2
1.990967810E-1,2.380200195E1,-1.333300018E1,-1.302630005E2,1.330892689E2
2.070968200E-1,2.431200027E1,-1.282100105E1,-1.292640076E2,1.321538311E2
2.150943200E-1,2.524500084E1,-1.291100025E1,-1.290460052E2,1.321244696E2
2.230903360E-1,2.587800217E1,-1.221100044E1,-1.290540009E2,1.321881790E2
2.310863510E-1,2.617200089E1,-1.309400082E1,-1.288290100E2,1.321110908E2
2.390830310E-1,2.647600174E1,-1.371000099E1,-1.297210083E2,1.331032787E2
2.470798280E-1,2.586300087E1,-1.387600040E1,-1.320600128E2,1.352822427E2
2.550758440E-1,2.605200195E1,-1.293600082E1,-1.307260132E2,1.339228787E2
2.630706090E-1,2.585100174E1,-1.240900040E1,-1.309500122E2,1.340528376E2
2.710678750E-1,2.540100098E1,-1.226200104E1,-1.297200012E2,1.327510687E2
2.790600620E-1,2.625900078E1,-1.180600071E1,-1.286110077E2,1.317941883E2
2.870520550E-1,2.645600128E1,-1.225100040E1,-1.297270050E2,1.329627874E2
2.950479920E-1,2.492900085E1,-1.222100067E1,-1.304980011E2,1.334186502E2
3.030376010E-1,2.397500038E1,-1.249500084E1,-1.302680054E2,1.330438984E2
3.110299060E-1,2.420000076E1,-1.274100018E1,-1.293750000E2,1.322341247E2
3.190258050E-1,2.564500046E1,-1.231700039E1,-1.278240051E2,1.309517118E2
3.270269370E-1,2.667300034E1,-1.259000015E1,-1.289459991E2,1.322763310E2
3.350245160E-1,2.607000160E1,-1.266000080E1,-1.307270050E2,1.339009725E2
3.430212730E-1,2.585700035E1,-1.240300083E1,-1.301690063E2,1.332906190E2
3.510214690E-1,2.584300041E1,-1.258900070E1,-1.303910065E2,1.335221262E2
3.590197110E-1,2.515600204E1,-1.246500015E1,-1.292710114E2,1.322845231E2
3.670186950E-1,2.589300156E1,-1.202400017E1,-1.286080017E2,1.317385373E2
3.750161170E-1,2.682100105E1,-1.220600033E1,-1.282790070E2,1.316201207E2
3.830144760E-1,2.642600060E1,-1.270900059E1,-1.296130066E2,1.328886138E2
3.910158440E-1,2.670200157E1,-1.204600048E1,-1.299530029E2,1.332136854E2
3.990147110E-1,2.625100136E1,-1.198500061E1,-1.280520020E2,1.312633632E2
4.070120940E-1,2.463100052E1,-1.160000038E1,-1.288250122E2,1.316705357E2
4.150106090E-1,2.463800049E1,-1.150700092E1,-1.287130127E2,1.315541021E2
4.230061950E-1,2.511300087E1,-1.328000069E1,-1.277050095E2,1.308265671E2
4.310063910E-1,2.553100204E1,-1.388900089E1,-1.291560059E2,1.323858386E2
4.390036560E-1,2.537800026E1,-1.280000019E1,-1.279320068E2,1.310514451E2
4.470012340E-1,2.433400154E1,-1.271300030E1,-1.271440048E2,1.300744478E2
4.549995940E-1,2.498000145E1,-1.339300060E1,-1.289309998E2,1.320097558E2
4.629974060E-1,2.506900024E1,-1.383900070E1,-1.287070007E2,1.318539524E2
4.709983830E-1,2.516000175E1,-1.419800091E1,-1.290410004E2,1.322353534E2
4.789967030E-1,2.635100174E1,-1.390000057E1,-1.290500031E2,1.324442849E2
4.869966250E-1,2.712700081E1,-1.264800072E1,-1.305110016E2,1.338990950E2
4.949966250E-1,2.633200073E1,-1.201100063E1,-1.329640045E2,1.360774224E2
5.029934610E-1,2.585000038E1,-1.232400036E1,-1.318430023E2,1.349173108E2
5.109921330E-1,2.628000069E1,-1.300700092E1,-1.309510040E2,1.341938373E2
5.189915860E-1,2.588100052E1,-1.377300072E1,-1.304980011E2,1.337507010E2
5.269922110E-1,2.521200180E1,-1.320100021E1,-1.309430084E2,1.339999362E2
5.349938510E-1,2.583000183E1,-1.277300072E1,-1.305019989E2,1.336454648E2
5.429938120E-1,2.713500214E1,-1.264000034E1,-1.295070038E2,1.329215633E2
5.509899060E-1,2.640900040E1,-1.289800072E1,-1.302820129E2,1.335559681E2
5.589877580E-1,2.543800163E1,-1.336000061E1,-1.307200012E2,1.338405778E2
5.669863510E-1,2.709800148E1,-1.302000046E1,-1.311790009E2,1.345799107E2
5.749863120E-1,2.748500061E1,-1.260900021E1,-1.299560089E2,1.334277947E2
5.829853750E-1,2.604000092E1,-1.320500088E1,-1.298320007E2,1.330744232E2
5.909871720E-1,2.640900040E1,-1.298400021E1,-1.295000000E2,1.328016173E2
5.989875620E-1,2.610500145E1,-1.236900043E1,-1.286080017E2,1.318122960E2
6.069872500E-1,2.636000061E1,-1.198300076E1,-1.292810059E2,1.324840383E2
6.149850620E-1,2.705900192E1,-1.209500027E1,-1.288390045E2,1.322042651E2
6.229822890E-1,2.615300179E1,-1.345600033E1,-1.281570129E2,1.314886437E2
6.309827190E-1,2.589700127E1,-1.358500099E1,-1.299410095E2,1.331911141E2
6.389785000E-1,2.602200127E1,-1.330800056E1,-1.313940125E2,1.346054751E2
6.469764690E-1,2.644700050E1,-1.399600029E1,-1.311710052E2,1.345405681E2
6.549745940E-1,2.560700035E1,-1.252500057E1,-1.311710052E2,1.342327334E2
6.629698280E-1,2.436900139E1,-1.182000065E1,-1.306080017E2,1.333866963E2
6.709693590E-1,2.491900063E1,-1.257500076E1,-1.285989990E2,1.315932741E2
6.789664690E-1,2.540900040E1,-1.233900070E1,-1.278220062E2,1.309058193E2
6.869650230E-1,2.542000198E1,-1.215700054E1,-1.280460052E2,1.311096817E2
6.949631870E-1,2.609500122E1,-1.246400070E1,-1.290540009E2,1.322544349E2
7.029627190E-1,2.587800217E1,-1.203900051E1,-1.306170044E2,1.336989542E2
7.109615860E-1,2.506200027E1,-1.211000061E1,-1.293830109E2,1.323431882E2
7.189633050E-1,2.509500122E1,-1.338400078E1,-1.292670135E2,1.323587978E2
7.269640470E-1,2.557900047E1,-1.298200035E1,-1.308339996E2,1.339416032E2
7.349666250E-1,2.507100105E1,-1.366500092E1,-1.300470123E2,1.331447061E2
7.429686170E-1,2.481100082E1,-1.405500031E1,-1.299320068E2,1.330242654E2
7.509715470E-1,2.600300217E1,-1.384300041E1,-1.291590118E2,1.324757907E2
7.589683830E-1,2.652900124E1,-1.288400078E1,-1.299480133E2,1.332526606E2
7.669669760E-1,2.577000046E1,-1.186900043E1,-1.309520111E2,1.339902806E2
7.749673280E-1,2.499900055E1,-1.303000069E1,-1.296020050E2,1.326326153E2
7.829679920E-1,2.527200127E1,-1.419200039E1,-1.298230133E2,1.330191780E2
7.909690080E-1,2.562400055E1,-1.415900040E1,-1.299370117E2,1.331941955E2
7.989695940E-1,2.535900116E1,-1.464000034E1,-1.298209991E2,1.330823067E2
8.069692810E-1,2.432900047E1,-1.445500088E1,-1.281410065E2,1.312286739E2
8.149707660E-1,2.467300034E1,-1.295100021E1,-1.266980057E2,1.297261346E2
8.229684220E-1,2.555900192E1,-1.186700058E1,-1.276020050E2,1.306765471E2
8.309696720E-1,2.507400131E1,-1.192600060E1,-1.293840027E2,1.323297215E2
8.389723280E-1,2.470900154E1,-1.222900105E1,-1.284880066E2,1.314125225E2
8.469742810E-1,2.475900078E1,-1.331500053E1,-1.277020035E2,1.307596996E2
8.549758050E-1,2.581700134E1,-1.312900066E1,-1.289380035E2,1.321510385E2
8.629786560E-1,2.637400055E1,-1.179800034E1,-1.290590057E2,1.322535734E2
8.709835780E-1,2.588000107E1,-1.220800018E1,-1.287190094E2,1.318612646E2
8.789810780E-1,2.574600029E1,-1.240800095E1,-1.292750092E2,1.323965370E2
8.869800620E-1,2.612500191E1,-1.209100056E1,-1.283860016E2,1.315738326E2
8.949797500E-1,2.608300209E1,-1.273400021E1,-1.282710114E2,1.315139921E2
9.029790470E-1,2.548100090E1,-1.288800049E1,-1.290480042E2,1.321694720E2
9.109809610E-1,2.505500031E1,-1.211600018E1,-1.302760010E2,1.332155656E2
9.189814300E-1,2.658500099E1,-1.205700016E1,-1.299520111E2,1.331903102E2
9.269815080E-1,2.625400162E1,-1.189700031E1,-1.284990082E2,1.316920891E2
9.349866250E-1,2.462100029E1,-1.169600010E1,-1.293820038E2,1.322221350E2
9.429901410E-1,2.441000175E1,-1.291500092E1,-1.311620026E2,1.340377423E2
9.509926010E-1,2.455000114E1,-1.427500057E1,-1.317150116E2,1.347416880E2
9.589952190E-1,2.630000114E1,-1.272900105E1,-1.307290039E2,1.339544325E2
9.669996720E-1,2.597600174E1,-1.239100075E1,-1.300579987E2,1.332042514E2
9.750047890E-1,2.548100090E1,-1.280200100E1,-1.298300018E2,1.329247983E2
9.830093980E-1,2.593500137E1,-1.303200054E1,-1.297200012E2,1.329275594E2
9.910116640E-1,2.605200195E1,-1.302100086E1,-1.298330078E2,1.330596227E2
9.990148670E-1,2.638800049E1,-1.309000015E1,-1.313970032E2,1.346582605E2
1.007018617E0,2.636000061E1,-1.346200085E1,-1.319540100E2,1.352328949E2
1.015022094E0,2.548900032E1,-1.279500103E1,-1.288250122E2,1.319442494E2
1.023027289E0,2.568300056E1,-1.167800045E1,-1.284960022E2,1.315568880E2
1.031032953E0,2.608300209E1,-1.221800041E1,-1.330730133E2,1.361544322E2
1.039034008E0,2.608900070E1,-1.229800034E1,-1.315100098E2,1.346356544E2
1.047036859E0,2.720400047E1,-1.162800026E1,-1.292880096E2,1.326297760E2
1.055041469E0,2.668300056E1,-1.232200050E1,-1.300630035E2,1.333424130E2
1.063046156E0,2.549300194E1,-1.270500088E1,-1.290490112E2,1.321550510E2
1.071051430E0,2.488600159E1,-1.320900059E1,-1.273690033E2,1.304478968E2
1.079052680E0,2.472800064E1,-1.360300064E1,-1.293750000E2,1.324175452E2
1.087056391E0,2.441000175E1,-1.291500092E1,-1.311620026E2,1.340377423E2
1.095056742E0,2.440500069E1,-1.317800045E1,-1.293750000E2,1.323146038E2
1.103051703E0,2.548500061E1,-1.279900074E1,-1.293830109E2,1.324887285E2
1.111052016E0,2.597300148E1,-1.239300060E1,-1.303930054E2,1.335309669E2
1.119050492E0,2.474600029E1,-1.332800102E1,-1.294880066E2,1.325033735E2
1.127051781E0,2.498100090E1,-1.330500031E1,-1.294900055E2,1.325471047E2
1.135048109E0,2.546300125E1,-1.324900055E1,-1.281540070E2,1.313291664E2
1.143044476E0,2.586800194E1,-1.247800064E1,-1.279360046E2,1.311200797E2
1.151044789E0,2.609000206E1,-1.246900082E1,-1.297239990E2,1.329077880E2
1.159041391E0,2.525100136E1,-1.273400021E1,-1.299400024E2,1.329818486E2
1.167040180E0,2.595100212E1,-1.284400082E1,-1.292750092E2,1.324781146E2
1.175033383E0,2.591600037E1,-1.330800056E1,-1.298310089E2,1.330595086E2
1.183028031E0,2.552800179E1,-1.380600071E1,-1.303840027E2,1.335749703E2
1.191026430E0,2.484900093E1,-1.358900070E1,-1.290410004E2,1.321125034E2
1.199023969E0,2.472200203E1,-1.360900021E1,-1.301560059E2,1.331802092E2
1.207021937E0,2.590400124E1,-1.349200058E1,-1.298300018E2,1.330747186E2
1.215016547E0,2.583500099E1,-1.276800060E1,-1.298320007E2,1.329917950E2
1.223010961E0,2.462600136E1,-1.325500107E1,-1.304920044E2,1.334552292E2
1.231009086E0,2.477000046E1,-1.296000099E1,-1.294900055E2,1.324733032E2
1.239002328E0,2.575900078E1,-1.230800056E1,-1.282710114E2,1.314095330E2
1.247003930E0,2.494800186E1,-1.211700058E1,-1.288250122E2,1.317767365E2
1.255003851E0,2.543700027E1,-1.171000099E1,-1.297220001E2,1.327100690E2
1.263007445E0,2.665300179E1,-1.269600105E1,-1.308430023E2,1.341322564E2
1.271005883E0,2.647100067E1,-1.362900066E1,-1.311720123E2,1.345085884E2
1.279005258E0,2.578700066E1,-1.350200081E1,-1.297170105E2,1.329427555E2
1.287006742E0,2.492100143E1,-1.413700104E1,-1.301549988E2,1.332712828E2
1.295009125E0,2.540300179E1,-1.391000080E1,-1.304940033E2,1.336693140E2
1.303009906E0,2.658100128E1,-1.214700031E1,-1.296170044E2,1.328708662E2
1.311010570E0,2.646300125E1,-1.207200050E1,-1.303980103E2,1.336026374E2
1.319003734E0,2.508300209E1,-1.331000042E1,-1.316110077E2,1.346394090E2
1.327000648E0,2.588400078E1,-1.368300056E1,-1.308330078E2,1.340689447E2
1.334999828E0,2.642400169E1,-1.271200085E1,-1.299480133E2,1.332152731E2
1.342994437E0,2.560700035E1,-1.252500057E1,-1.311710052E2,1.342327334E2
1.350993226E0,2.540100098E1,-1.391200066E1,-1.307180023E2,1.338878290E2
1.358991976E0,2.523400116E1,-1.465800095E1,-1.307130127E2,1.339309654E2
1.366993539E0,2.584700203E1,-1.414900112E1,-1.317239990E2,1.349795305E2
1.374996195E0,2.611000061E1,-1.202000046E1,-1.311770020E2,1.342893085E2
1.382999203E0,2.611100197E1,-1.219100094E1,-1.293899994E2,1.325600878E2
1.390998109E0,2.589500046E1,-1.367200089E1,-1.293820038E2,1.326543537E2
1.398992914E0,2.669600105E1,-1.205300045E1,-1.308460083E2,1.340844107E2
1.406991469E0,2.753000069E1,-1.187800026E1,-1.305170135E2,1.339166855E2
1.414990336E0,2.603000069E1,-1.347200108E1,-1.287150116E2,1.320098858E2
1.422989359E0,2.423900032E1,-1.392300034E1,-1.292590027E2,1.322469994E2
1.430988187E0,2.520100212E1,-1.338400078E1,-1.308300018E2,1.339056062E2
1.438982992E0,2.723700142E1,-1.281600094E1,-1.299530029E2,1.333937296E2
1.446979711E0,2.706100082E1,-1.365800095E1,-1.303950043E2,1.338719384E2
1.454978187E0,2.661500168E1,-1.342000103E1,-1.293880005E2,1.327769160E2
1.462976703E0,2.569300079E1,-1.314700031E1,-1.298300018E2,1.329992605E2
1.470976273E0,2.538400078E1,-1.245000076E1,-1.302770081E2,1.333095977E2
1.478970922E0,2.660900116E1,-1.169000053E1,-1.299540100E2,1.331643337E2
1.486969984E0,2.729300117E1,-1.207400036E1,-1.290640106E2,1.324696502E2
1.494968305E0,2.665100098E1,-1.286900043E1,-1.295019989E2,1.328407119E2
1.502963969E0,2.520400047E1,-1.329600048E1,-1.312770081E2,1.343342031E2
1.510961586E0,2.538800049E1,-1.244600105E1,-1.298310089E2,1.328741675E2
1.518959476E0,2.595800209E1,-1.266600037E1,-1.299450073E2,1.331163039E2
1.526954320E0,2.604700089E1,-1.294100094E1,-1.313960114E2,1.345764748E2
1.534946391E0,2.592700195E1,-1.321200085E1,-1.292730103E2,1.325076510E2
1.542939789E0,2.614600182E1,-1.354800034E1,-1.281570129E2,1.314966984E2
1.550937875E0,2.613300133E1,-1.356200027E1,-1.299430084E2,1.332368082E2
1.558933773E0,2.567900085E1,-1.324700069E1,-1.308339996E2,1.339866768E2
1.566930492E0,2.463200188E1,-1.324900055E1,-1.297109985E2,1.326921802E2
1.574930648E0,2.460200119E1,-1.370800018E1,-1.295970001E2,1.326218314E2
1.582927719E0,2.663800049E1,-1.305400085E1,-1.296130066E2,1.329643617E2
1.590926430E0,2.572900200E1,-1.251000023E1,-1.306140137E2,1.337105165E2
1.598923851E0,2.500300026E1,-1.285400105E1,-1.306080017E2,1.335994965E2
1.606919516E0,2.589300156E1,-1.202400017E1,-1.286080017E2,1.317385373E2
1.614913266E0,2.516600037E1,-1.245500088E1,-1.279320068E2,1.309772995E2
1.622908617E0,2.515000153E1,-1.264300060E1,-1.284890137E2,1.315362865E2
1.630904594E0,2.627100182E1,-1.162300014E1,-1.287239990E2,1.318905895E2
1.638897367E0,2.662700081E1,-1.167200089E1,-1.276100082E2,1.308798952E2
1.646894984E0,2.601500130E1,-1.192300034E1,-1.289440002E2,1.320813894E2
1.654894476E0,2.460100174E1,-1.205800056E1,-1.287109985E2,1.315945508E2
1.662890336E0,2.339500046E1,-1.254300022E1,-1.290360107E2,1.317381682E2
1.670886586E0,2.363200188E1,-1.251900101E1,-1.289260101E2,1.316704712E2
1.678883383E0,2.473000145E1,-1.186500072E1,-1.289360046E2,1.318212597E2
1.686880297E0,2.467700195E1,-1.251800060E1,-1.302720032E2,1.331782624E2
1.694877875E0,2.474100113E1,-1.324700069E1,-1.309390106E2,1.339127502E2
1.702872836E0,2.642000198E1,-1.271500015E1,-1.303950043E2,1.336508319E2
1.710869398E0,2.667700195E1,-1.241400051E1,-1.300630035E2,1.333497459E2
1.718859398E0,2.628300095E1,-1.317500019E1,-1.289410095E2,1.322503713E2
1.726850609E0,2.665600204E1,-1.286400032E1,-1.288330078E2,1.321891404E2
1.734845141E0,2.678500175E1,-1.249900055E1,-1.306210022E2,1.339235138E2
1.742836391E0,2.674300194E1,-1.322700024E1,-1.297250061E2,1.331116783E2
1.750830687E0,2.554900169E1,-1.352700043E1,-1.299390106E2,1.331160310E2
1.758820492E0,2.513300133E1,-1.274500084E1,-1.298280029E2,1.328510939E2
1.766810766E0,2.500900078E1,-1.302000046E1,-1.282630005E2,1.313254272E2
1.774804164E0,2.512500191E1,-1.301000023E1,-1.284869995E2,1.315653255E2
1.782795531E0,2.681500053E1,-1.229800034E1,-1.282779999E2,1.316264803E2
1.790789828E0,2.705800056E1,-1.201000023E1,-1.297320099E2,1.330667873E2
1.798783734E0,2.534400177E1,-1.309000015E1,-1.299390106E2,1.330331275E2
1.806780531E0,2.447800064E1,-1.389700031E1,-1.288140106E2,1.318535114E2
1.814770375E0,2.520300102E1,-1.346800041E1,-1.297140045E2,1.328243248E2
1.822764086E0,2.701100159E1,-1.282900047E1,-1.287239990E2,1.321516000E2
1.830760687E0,2.668400192E1,-1.240800095E1,-1.291700134E2,1.324797600E2
1.838750219E0,2.402400208E1,-1.341100025E1,-1.313800049E2,1.342300759E2
1.846743539E0,2.492300034E1,-1.387800026E1,-1.323890076E2,1.354274867E2
1.854740648E0,2.500700188E1,-1.302300072E1,-1.285980072E2,1.316525585E2
1.862733891E0,2.418900108E1,-1.318000031E1,-1.266940079E2,1.296541238E2
1.870727523E0,2.602300072E1,-1.365100098E1,-1.280440063E2,1.313728052E2
1.878719359E0,2.619600105E1,-1.264100075E1,-1.297239990E2,1.329448807E2
1.886715219E0,2.553600121E1,-1.206100082E1,-1.290520020E2,1.321059208E2
1.894707484E0,2.565000153E1,-1.222500038E1,-1.279360046E2,1.310534032E2
1.902702133E0,2.597400093E1,-1.256400013E1,-1.286060028E2,1.318029089E2
1.910697758E0,2.588500214E1,-1.203200054E1,-1.297239990E2,1.328274004E2
1.918689516E0,2.530400085E1,-1.190900040E1,-1.301670074E2,1.331373974E2
1.926687250E0,2.463500023E1,-1.324600029E1,-1.292640076E2,1.322555232E2
1.934682797E0,2.512800026E1,-1.457200050E1,-1.299320068E2,1.331393480E2
1.942682328E0,2.576200104E1,-1.387100029E1,-1.298270111E2,1.330832001E2
1.950678734E0,2.533200073E1,-1.327400017E1,-1.299380035E2,1.330480894E2
1.958671078E0,2.615800095E1,-1.310800076E1,-1.307260132E2,1.339602599E2
1.966667719E0,2.643500137E1,-1.244300079E1,-1.308420105E2,1.340644221E2
1.974664047E0,2.629100037E1,-1.291000080E1,-1.302810059E2,1.335328623E2
1.982661273E0,2.641700172E1,-1.471200085E1,-1.286000061E2,1.321070116E2
1.990657484E0,2.576800156E1,-1.412200069E1,-1.265890045E2,1.299545954E2
1.998646391E0,2.599600029E1,-1.237100029E1,-1.273790054E2,1.305919014E2
2.006636976E0,2.546000099E1,-1.299500084E1,-1.310570068E2,1.341380660E2
2.014628148E0,2.485900116E1,-1.323500061E1,-1.308280029E2,1.338248913E2
2.022624359E0,2.527500153E1,-1.418900108E1,-1.293760071E2,1.325831990E2
2.030619594E0,2.598400116E1,-1.394700050E1,-1.308330078E2,1.341154841E2
2.038608656E0,2.621800041E1,-1.227500057E1,-1.299490051E2,1.331345301E2
