"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.682385100E-2,-1.172600079E1,-2.861500168E1,-4.256700134E1,5.261432332E1
2.482494500E-2,-1.046100044E1,-2.886600113E1,-4.369100189E1,5.340020784E1
3.282744500E-2,-9.676000595E0,-2.925400162E1,-4.492200089E1,5.447391818E1
4.082537500E-2,-1.060500050E1,-2.969100189E1,-4.432300186E1,5.439255577E1
4.882365600E-2,-1.156600094E1,-3.005800056E1,-4.420300293E1,5.469150979E1
5.682396900E-2,-1.138600063E1,-3.021800232E1,-4.452000046E1,5.499817375E1
6.482475000E-2,-1.084200096E1,-2.890000153E1,-4.631500244E1,5.565822962E1
7.282432000E-2,-1.055300045E1,-2.875100136E1,-4.696300125E1,5.606700798E1
8.082365600E-2,-1.036600018E1,-2.963500214E1,-4.539700317E1,5.519578977E1
8.882736700E-2,-1.057900047E1,-2.859700203E1,-4.524700165E1,5.456184504E1
9.682951600E-2,-1.052800083E1,-2.768800163E1,-4.659100342E1,5.521037797E1
1.048320160E-1,-1.008900070E1,-2.851200104E1,-4.633500290E1,5.533222056E1
1.128354530E-1,-9.233000755E0,-2.996600151E1,-4.421400070E1,5.420412722E1
1.208332660E-1,-9.112000465E0,-2.921800232E1,-4.313700104E1,5.289159735E1
1.288354140E-1,-9.693000793E0,-2.900900078E1,-4.436200333E1,5.388379840E1
1.368329920E-1,-1.085700035E1,-2.951200104E1,-4.483600235E1,5.476403718E1
1.448346330E-1,-1.104200077E1,-2.871200180E1,-4.539700317E1,5.483787674E1
1.528384220E-1,-9.818000793E0,-2.728800201E1,-4.514400101E1,5.365639776E1
1.608405700E-1,-1.005200005E1,-2.748100090E1,-4.335500336E1,5.230587378E1
1.688437340E-1,-1.008500004E1,-2.787000084E1,-4.271000290E1,5.198642631E1
1.768449450E-1,-1.017400074E1,-2.907400131E1,-4.393200302E1,5.365471771E1
1.848445160E-1,-1.018900013E1,-2.985400200E1,-4.695800400E1,5.656970301E1
1.928431480E-1,-9.734000206E0,-2.851900101E1,-4.495700073E1,5.412223289E1
2.008415860E-1,-1.017700005E1,-2.782700157E1,-4.282000351E1,5.207173943E1
2.088397500E-1,-1.022500038E1,-2.830400085E1,-4.516200256E1,5.427037472E1
2.168352190E-1,-1.060800076E1,-2.844600105E1,-4.427000046E1,5.367995526E1
2.248329530E-1,-1.108200073E1,-2.849400139E1,-4.460100174E1,5.407372940E1
2.328315470E-1,-1.006600094E1,-2.852900124E1,-4.421400070E1,5.357337160E1
2.408283440E-1,-9.826000214E0,-2.867400169E1,-4.209500122E1,5.187232192E1
2.488285390E-1,-1.069900036E1,-2.927600098E1,-4.400000381E1,5.392173196E1
2.568301410E-1,-1.009600067E1,-2.886300087E1,-4.545700073E1,5.478449566E1
2.648327970E-1,-8.829000473E0,-2.757100105E1,-4.337600327E1,5.214967888E1
2.728344760E-1,-1.014500046E1,-2.814500046E1,-4.180200195E1,5.140495552E1
2.808378360E-1,-1.006200027E1,-2.839600182E1,-4.251500320E1,5.210664321E1
2.888411560E-1,-1.030500031E1,-2.851200104E1,-4.262500381E1,5.230696115E1
2.968422890E-1,-1.158800030E1,-2.871500206E1,-4.288100052E1,5.289246922E1
3.048440860E-1,-1.067700005E1,-2.900000191E1,-4.400200272E1,5.376964463E1
3.128429530E-1,-1.020300007E1,-2.823600197E1,-4.460200119E1,5.376533760E1
3.208397110E-1,-1.025000095E1,-2.723300171E1,-4.404800034E1,5.279133674E1
3.288425620E-1,-9.782000542E0,-2.810800171E1,-4.309100342E1,5.236966555E1
3.368418980E-1,-1.004200077E1,-2.858400154E1,-4.230600357E1,5.203541930E1
3.448444370E-1,-1.028800011E1,-2.868200111E1,-4.255600357E1,5.234036276E1
3.528440080E-1,-9.178000450E0,-2.758800125E1,-4.513500214E1,5.368893669E1
3.608452190E-1,-8.789000511E0,-2.632500076E1,-4.550600052E1,5.330148477E1
3.688464690E-1,-9.210000038E0,-2.580500031E1,-4.360800171E1,5.150126168E1
3.768465860E-1,-8.767000198E0,-2.651900101E1,-4.436900330E1,5.242829542E1
3.848509220E-1,-1.001300049E1,-2.755800056E1,-4.513800049E1,5.382511182E1
3.928516250E-1,-9.677000046E0,-2.729200172E1,-4.354300308E1,5.229235896E1
4.008522500E-1,-8.887000084E0,-2.602700043E1,-4.321800232E1,5.122674347E1
4.088538910E-1,-9.931000710E0,-2.624200058E1,-4.350500107E1,5.176825753E1
4.168549840E-1,-8.490000725E0,-2.738600159E1,-4.429100037E1,5.276140548E1
4.248522500E-1,-7.779000282E0,-2.808500099E1,-4.399700165E1,5.277325345E1
4.328526800E-1,-8.859000206E0,-2.837800217E1,-4.477000046E1,5.374147219E1
4.408549060E-1,-8.399000168E0,-2.911400223E1,-4.605300140E1,5.512755452E1
4.488585390E-1,-1.022200012E1,-2.846100044E1,-4.481600189E1,5.406470067E1
4.568596720E-1,-1.133600044E1,-2.822400093E1,-4.424700165E1,5.369260926E1
4.648590860E-1,-9.162000656E0,-2.901800156E1,-4.425800323E1,5.370993875E1
4.728585390E-1,-8.976000786E0,-2.808000183E1,-4.325900269E1,5.234879565E1
4.808621330E-1,-9.332000732E0,-2.811700058E1,-4.359100342E1,5.270509974E1
4.888650230E-1,-8.072999954E0,-2.845900154E1,-4.460300064E1,5.352117117E1
4.968674450E-1,-7.961000443E0,-2.862500191E1,-4.382100296E1,5.294382459E1
5.048680310E-1,-9.240000725E0,-2.847500229E1,-4.381300354E1,5.306394867E1
5.128669760E-1,-8.227000237E0,-2.893500137E1,-4.538100052E1,5.444587262E1
5.208677970E-1,-8.090000153E0,-2.873300171E1,-4.437800217E1,5.348308673E1
5.288683830E-1,-1.005400085E1,-2.837200165E1,-4.392000198E1,5.324490572E1
5.368715470E-1,-9.128000259E0,-2.855500221E1,-4.381400299E1,5.308837347E1
5.448740470E-1,-8.065999985E0,-2.845200157E1,-4.371000290E1,5.277443607E1
5.528774450E-1,-8.223000526E0,-2.893100166E1,-4.482300186E1,5.397890413E1
5.608774450E-1,-8.176000595E0,-2.819800186E1,-4.505000305E1,5.377245642E1
5.688736170E-1,-8.775000572E0,-2.835000229E1,-4.549100113E1,5.431532425E1
5.768701410E-1,-7.622000217E0,-2.869100189E1,-4.494000244E1,5.385974653E1
5.848679140E-1,-6.984000206E0,-2.807100105E1,-4.338400269E1,5.214335095E1
5.928651010E-1,-7.501000404E0,-2.876200104E1,-4.371200180E1,5.286073034E1
6.008602190E-1,-8.572999954E0,-2.879000092E1,-4.593700027E1,5.488686979E1
6.088604530E-1,-9.262000084E0,-2.866800117E1,-4.504000092E1,5.418708905E1
6.168603750E-1,-6.878000259E0,-2.815700150E1,-4.416500092E1,5.282680122E1
6.248610780E-1,-6.252000332E0,-2.754900169E1,-4.417200089E1,5.243282049E1
6.328612730E-1,-7.688000202E0,-2.813600159E1,-4.293200302E1,5.190276308E1
6.408600230E-1,-1.010200024E1,-2.910500145E1,-4.369400024E1,5.346323200E1
6.488577580E-1,-1.071400070E1,-2.935700226E1,-4.513900375E1,5.490130283E1
6.568523670E-1,-9.423000336E0,-2.920700073E1,-4.503300095E1,5.449599069E1
6.648504140E-1,-9.280000687E0,-2.882700157E1,-4.492400360E1,5.417822932E1
6.728504920E-1,-8.546999931E0,-2.832800102E1,-4.314200211E1,5.231404396E1
6.808506480E-1,-7.519000530E0,-2.877200127E1,-4.258900070E1,5.194406999E1
6.888540470E-1,-7.060000420E0,-2.874000168E1,-4.437800217E1,5.334077595E1
6.968567030E-1,-7.148000240E0,-2.820600128E1,-4.516100311E1,5.372325956E1
7.048584610E-1,-7.975000381E0,-2.846000099E1,-4.381500244E1,5.285193210E1
7.128550620E-1,-7.754000187E0,-2.879400063E1,-4.247600174E1,5.189826312E1
